"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 13:42:57 GMT 2025","Tue Jul 22 13:42:59 GMT 2025","1385","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Tue Jul 22 13:42:54 GMT 2025","Tue Jul 22 13:42:56 GMT 2025","1581","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Tue Jul 22 13:42:56 GMT 2025","Tue Jul 22 13:42:57 GMT 2025","1298","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Tue Jul 22 13:42:58 GMT 2025","Tue Jul 22 13:43:03 GMT 2025","4372","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Tue Jul 22 13:42:53 GMT 2025","Tue Jul 22 13:42:58 GMT 2025","4497","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Tue Jul 22 13:42:45 GMT 2025","Tue Jul 22 13:42:51 GMT 2025","6165","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Tue Jul 22 13:42:45 GMT 2025","Tue Jul 22 13:42:50 GMT 2025","5461","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Tue Jul 22 13:42:59 GMT 2025","Tue Jul 22 13:43:04 GMT 2025","5124","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
