"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 11:46:31 GMT 2025","Wed Jul 23 11:46:35 GMT 2025","3898","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Wed Jul 23 11:46:22 GMT 2025","Wed Jul 23 11:46:28 GMT 2025","5515","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
