"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 02 14:34:25 GMT 2025","Wed Jul 02 14:34:30 GMT 2025","4810","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Wed Jul 02 14:34:17 GMT 2025","Wed Jul 02 14:34:26 GMT 2025","9389","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Wed Jul 02 14:34:30 GMT 2025","Wed Jul 02 14:34:41 GMT 2025","10288","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Wed Jul 02 14:34:16 GMT 2025","Wed Jul 02 14:34:24 GMT 2025","7805","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
