"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 05 13:48:07 GMT 2025","Tue Aug 05 13:48:14 GMT 2025","7340","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Tue Aug 05 13:48:24 GMT 2025","Tue Aug 05 13:48:28 GMT 2025","4008","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Tue Aug 05 13:48:07 GMT 2025","Tue Aug 05 13:48:19 GMT 2025","11923","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Tue Aug 05 13:48:23 GMT 2025","Tue Aug 05 13:48:24 GMT 2025","1314","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Tue Aug 05 13:48:22 GMT 2025","Tue Aug 05 13:48:23 GMT 2025","1137","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Tue Aug 05 13:48:15 GMT 2025","Tue Aug 05 13:48:20 GMT 2025","4561","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Tue Aug 05 13:48:20 GMT 2025","Tue Aug 05 13:48:22 GMT 2025","1610","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Tue Aug 05 13:48:20 GMT 2025","Tue Aug 05 13:48:24 GMT 2025","3973","","ApiTest.spec.js","","","","@smoke @regression second test",""
