"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 13:45:21 GMT 2025","Fri Aug 08 13:45:25 GMT 2025","4176","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Aug 08 13:45:22 GMT 2025","Fri Aug 08 13:45:24 GMT 2025","1215","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Fri Aug 08 13:45:25 GMT 2025","Fri Aug 08 13:45:29 GMT 2025","4319","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Aug 08 13:45:21 GMT 2025","Fri Aug 08 13:45:22 GMT 2025","1626","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Fri Aug 08 13:45:09 GMT 2025","Fri Aug 08 13:45:20 GMT 2025","10193","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Fri Aug 08 13:45:09 GMT 2025","Fri Aug 08 13:45:14 GMT 2025","5157","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Aug 08 13:45:24 GMT 2025","Fri Aug 08 13:45:25 GMT 2025","1301","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Aug 08 13:45:15 GMT 2025","Fri Aug 08 13:45:20 GMT 2025","4810","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
