"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 13:34:43 GMT 2025","Fri Aug 29 13:34:49 GMT 2025","5719","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Aug 29 13:34:23 GMT 2025","Fri Aug 29 13:34:34 GMT 2025","10552","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Aug 29 13:34:34 GMT 2025","Fri Aug 29 13:34:39 GMT 2025","4929","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Fri Aug 29 13:34:40 GMT 2025","Fri Aug 29 13:34:44 GMT 2025","4318","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Aug 29 13:34:38 GMT 2025","Fri Aug 29 13:34:40 GMT 2025","2401","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Fri Aug 29 13:34:41 GMT 2025","Fri Aug 29 13:34:43 GMT 2025","1331","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Aug 29 13:34:23 GMT 2025","Fri Aug 29 13:34:36 GMT 2025","13353","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Fri Aug 29 13:34:40 GMT 2025","Fri Aug 29 13:34:41 GMT 2025","1356","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
