"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 03 05:45:56 GMT 2025","Thu Jul 03 05:45:57 GMT 2025","1057","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Thu Jul 03 05:45:58 GMT 2025","Thu Jul 03 05:45:59 GMT 2025","1311","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Thu Jul 03 05:45:59 GMT 2025","Thu Jul 03 05:46:05 GMT 2025","5954","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Thu Jul 03 05:45:57 GMT 2025","Thu Jul 03 05:45:58 GMT 2025","1053","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Thu Jul 03 05:45:44 GMT 2025","Thu Jul 03 05:45:52 GMT 2025","8197","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Thu Jul 03 05:45:54 GMT 2025","Thu Jul 03 05:46:00 GMT 2025","5568","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Thu Jul 03 05:45:44 GMT 2025","Thu Jul 03 05:45:51 GMT 2025","6974","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Thu Jul 03 05:46:00 GMT 2025","Thu Jul 03 05:46:05 GMT 2025","5014","","ApiTest.spec.js","","","","@smoke @regression second test",""
