"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 14:03:17 GMT 2025","Wed Aug 20 14:03:21 GMT 2025","4239","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Wed Aug 20 14:03:25 GMT 2025","Wed Aug 20 14:03:29 GMT 2025","4268","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Wed Aug 20 14:03:23 GMT 2025","Wed Aug 20 14:03:25 GMT 2025","1341","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Wed Aug 20 14:03:22 GMT 2025","Wed Aug 20 14:03:23 GMT 2025","1146","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Wed Aug 20 14:03:20 GMT 2025","Wed Aug 20 14:03:22 GMT 2025","2084","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Wed Aug 20 14:03:06 GMT 2025","Wed Aug 20 14:03:18 GMT 2025","12615","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Wed Aug 20 14:03:06 GMT 2025","Wed Aug 20 14:03:16 GMT 2025","9653","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Wed Aug 20 14:03:21 GMT 2025","Wed Aug 20 14:03:25 GMT 2025","3892","","ApiTest.spec.js","","","","@smoke @regression second test",""
