"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 01 13:42:50 GMT 2025","Fri Aug 01 13:42:51 GMT 2025","1293","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Aug 01 13:42:48 GMT 2025","Fri Aug 01 13:42:49 GMT 2025","1098","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Fri Aug 01 13:42:35 GMT 2025","Fri Aug 01 13:42:40 GMT 2025","4968","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Aug 01 13:42:51 GMT 2025","Fri Aug 01 13:42:55 GMT 2025","3984","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Aug 01 13:42:47 GMT 2025","Fri Aug 01 13:42:51 GMT 2025","3984","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Aug 01 13:42:43 GMT 2025","Fri Aug 01 13:42:47 GMT 2025","4398","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Fri Aug 01 13:42:35 GMT 2025","Fri Aug 01 13:42:43 GMT 2025","8165","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Fri Aug 01 13:42:46 GMT 2025","Fri Aug 01 13:42:48 GMT 2025","1992","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
