"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 02 13:36:33 GMT 2025","Wed Jul 02 13:36:35 GMT 2025","1482","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Wed Jul 02 13:36:36 GMT 2025","Wed Jul 02 13:36:41 GMT 2025","5310","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Wed Jul 02 13:36:35 GMT 2025","Wed Jul 02 13:36:39 GMT 2025","4456","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Wed Jul 02 13:36:31 GMT 2025","Wed Jul 02 13:36:32 GMT 2025","1286","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Wed Jul 02 13:36:19 GMT 2025","Wed Jul 02 13:36:28 GMT 2025","8870","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Wed Jul 02 13:36:32 GMT 2025","Wed Jul 02 13:36:33 GMT 2025","1258","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Wed Jul 02 13:36:19 GMT 2025","Wed Jul 02 13:36:33 GMT 2025","14206","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Wed Jul 02 13:36:41 GMT 2025","Wed Jul 02 13:36:48 GMT 2025","6393","","ApiTest.spec.js","","","","@smoke @regression second test",""
