"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 13:39:42 GMT 2025","Wed Jul 09 13:39:47 GMT 2025","5228","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Wed Jul 09 13:39:42 GMT 2025","Wed Jul 09 13:39:43 GMT 2025","1203","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Wed Jul 09 13:39:32 GMT 2025","Wed Jul 09 13:39:41 GMT 2025","8917","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Wed Jul 09 13:39:47 GMT 2025","Wed Jul 09 13:39:52 GMT 2025","5047","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Wed Jul 09 13:39:45 GMT 2025","Wed Jul 09 13:39:50 GMT 2025","4440","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Wed Jul 09 13:39:32 GMT 2025","Wed Jul 09 13:39:40 GMT 2025","8035","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Wed Jul 09 13:39:44 GMT 2025","Wed Jul 09 13:39:45 GMT 2025","1323","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Wed Jul 09 13:39:43 GMT 2025","Wed Jul 09 13:39:44 GMT 2025","1006","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
