"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 25 13:42:25 GMT 2025","Fri Jul 25 13:42:26 GMT 2025","1461","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Jul 25 13:42:21 GMT 2025","Fri Jul 25 13:42:26 GMT 2025","4420","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Jul 25 13:42:09 GMT 2025","Fri Jul 25 13:42:19 GMT 2025","9727","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Fri Jul 25 13:42:17 GMT 2025","Fri Jul 25 13:42:21 GMT 2025","4634","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Fri Jul 25 13:42:09 GMT 2025","Fri Jul 25 13:42:16 GMT 2025","6164","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Jul 25 13:42:21 GMT 2025","Fri Jul 25 13:42:23 GMT 2025","2424","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Fri Jul 25 13:42:26 GMT 2025","Fri Jul 25 13:42:31 GMT 2025","4643","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Jul 25 13:42:23 GMT 2025","Fri Jul 25 13:42:25 GMT 2025","1911","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
