"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 13:47:37 GMT 2025","Thu Aug 07 13:47:42 GMT 2025","4552","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Thu Aug 07 13:47:26 GMT 2025","Thu Aug 07 13:47:36 GMT 2025","9604","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Thu Aug 07 13:47:38 GMT 2025","Thu Aug 07 13:47:40 GMT 2025","1746","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Thu Aug 07 13:47:44 GMT 2025","Thu Aug 07 13:47:49 GMT 2025","4554","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Thu Aug 07 13:47:40 GMT 2025","Thu Aug 07 13:47:43 GMT 2025","2970","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Thu Aug 07 13:47:43 GMT 2025","Thu Aug 07 13:47:44 GMT 2025","1345","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Thu Aug 07 13:47:42 GMT 2025","Thu Aug 07 13:47:46 GMT 2025","4380","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Thu Aug 07 13:47:26 GMT 2025","Thu Aug 07 13:47:37 GMT 2025","10093","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
