"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 13:42:25 GMT 2025","Mon Jul 14 13:42:35 GMT 2025","10953","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Mon Jul 14 13:42:14 GMT 2025","Mon Jul 14 13:42:21 GMT 2025","7174","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
