"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 13:39:53 GMT 2025","Thu Jul 10 13:39:57 GMT 2025","4067","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Thu Jul 10 13:39:53 GMT 2025","Thu Jul 10 13:39:57 GMT 2025","4351","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Thu Jul 10 13:39:39 GMT 2025","Thu Jul 10 13:39:46 GMT 2025","6837","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Thu Jul 10 13:39:48 GMT 2025","Thu Jul 10 13:39:52 GMT 2025","4779","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Thu Jul 10 13:39:49 GMT 2025","Thu Jul 10 13:39:50 GMT 2025","1216","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Thu Jul 10 13:39:51 GMT 2025","Thu Jul 10 13:39:53 GMT 2025","1403","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Thu Jul 10 13:39:39 GMT 2025","Thu Jul 10 13:39:47 GMT 2025","7813","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Thu Jul 10 13:39:50 GMT 2025","Thu Jul 10 13:39:51 GMT 2025","1370","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
