"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 22 13:34:59 GMT 2025","Fri Aug 22 13:35:00 GMT 2025","1372","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Aug 22 13:34:56 GMT 2025","Fri Aug 22 13:35:02 GMT 2025","6118","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Fri Aug 22 13:35:02 GMT 2025","Fri Aug 22 13:35:08 GMT 2025","6007","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Aug 22 13:34:45 GMT 2025","Fri Aug 22 13:34:55 GMT 2025","10114","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Aug 22 13:34:56 GMT 2025","Fri Aug 22 13:34:58 GMT 2025","1668","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Fri Aug 22 13:35:00 GMT 2025","Fri Aug 22 13:35:05 GMT 2025","4740","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Aug 22 13:34:58 GMT 2025","Fri Aug 22 13:34:59 GMT 2025","1171","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Fri Aug 22 13:34:45 GMT 2025","Fri Aug 22 13:34:55 GMT 2025","9858","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
