"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 13:35:45 GMT 2025","Thu Aug 21 13:35:59 GMT 2025","13715","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Thu Aug 21 13:36:01 GMT 2025","Thu Aug 21 13:36:05 GMT 2025","4810","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Thu Aug 21 13:36:06 GMT 2025","Thu Aug 21 13:36:10 GMT 2025","4449","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Thu Aug 21 13:36:10 GMT 2025","Thu Aug 21 13:36:11 GMT 2025","1352","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Thu Aug 21 13:36:08 GMT 2025","Thu Aug 21 13:36:10 GMT 2025","1707","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Thu Aug 21 13:35:45 GMT 2025","Thu Aug 21 13:36:04 GMT 2025","18990","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Thu Aug 21 13:36:10 GMT 2025","Thu Aug 21 13:36:15 GMT 2025","4240","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Thu Aug 21 13:36:06 GMT 2025","Thu Aug 21 13:36:08 GMT 2025","1841","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
