"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 02 10:29:16 GMT 2025","Wed Jul 02 10:29:17 GMT 2025","1152","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Wed Jul 02 10:29:17 GMT 2025","Wed Jul 02 10:29:19 GMT 2025","1352","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Wed Jul 02 10:29:06 GMT 2025","Wed Jul 02 10:29:11 GMT 2025","5089","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Wed Jul 02 10:29:14 GMT 2025","Wed Jul 02 10:29:18 GMT 2025","4184","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Wed Jul 02 10:29:14 GMT 2025","Wed Jul 02 10:29:16 GMT 2025","2326","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Wed Jul 02 10:29:06 GMT 2025","Wed Jul 02 10:29:12 GMT 2025","5893","","ApiTest.spec.js","","","","@smoke @regression",""
