"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 02 13:36:56 GMT 2025","Sat Aug 02 13:36:57 GMT 2025","1129","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sat Aug 02 13:36:54 GMT 2025","Sat Aug 02 13:36:58 GMT 2025","3980","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sat Aug 02 13:36:50 GMT 2025","Sat Aug 02 13:36:54 GMT 2025","4437","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Sat Aug 02 13:36:42 GMT 2025","Sat Aug 02 13:36:51 GMT 2025","9075","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sat Aug 02 13:36:54 GMT 2025","Sat Aug 02 13:36:56 GMT 2025","1431","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sat Aug 02 13:36:42 GMT 2025","Sat Aug 02 13:36:47 GMT 2025","4687","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sat Aug 02 13:36:57 GMT 2025","Sat Aug 02 13:36:59 GMT 2025","1628","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sat Aug 02 13:36:58 GMT 2025","Sat Aug 02 13:37:03 GMT 2025","4345","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
