"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 13:40:48 GMT 2025","Tue Jul 08 13:40:53 GMT 2025","5180","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Tue Jul 08 13:40:51 GMT 2025","Tue Jul 08 13:40:52 GMT 2025","1281","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Tue Jul 08 13:40:37 GMT 2025","Tue Jul 08 13:40:44 GMT 2025","7188","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Tue Jul 08 13:40:54 GMT 2025","Tue Jul 08 13:40:59 GMT 2025","5170","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Tue Jul 08 13:40:37 GMT 2025","Tue Jul 08 13:40:46 GMT 2025","8894","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Tue Jul 08 13:40:50 GMT 2025","Tue Jul 08 13:40:51 GMT 2025","1125","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Tue Jul 08 13:40:52 GMT 2025","Tue Jul 08 13:40:54 GMT 2025","1442","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Tue Jul 08 13:40:53 GMT 2025","Tue Jul 08 13:40:58 GMT 2025","4700","","ApiTest.spec.js","","","","@smoke @regression second test",""
