"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 16 13:32:20 GMT 2025","Sat Aug 16 13:32:33 GMT 2025","12447","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sat Aug 16 13:32:30 GMT 2025","Sat Aug 16 13:32:36 GMT 2025","5318","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Sat Aug 16 13:32:34 GMT 2025","Sat Aug 16 13:32:36 GMT 2025","2395","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sat Aug 16 13:32:37 GMT 2025","Sat Aug 16 13:32:39 GMT 2025","1278","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sat Aug 16 13:32:36 GMT 2025","Sat Aug 16 13:32:40 GMT 2025","4551","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sat Aug 16 13:32:20 GMT 2025","Sat Aug 16 13:32:29 GMT 2025","9138","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sat Aug 16 13:32:36 GMT 2025","Sat Aug 16 13:32:37 GMT 2025","1155","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sat Aug 16 13:32:39 GMT 2025","Sat Aug 16 13:32:43 GMT 2025","4257","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
