"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 23 13:30:36 GMT 2025","Sat Aug 23 13:30:45 GMT 2025","8817","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sat Aug 23 13:30:49 GMT 2025","Sat Aug 23 13:30:51 GMT 2025","2018","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sat Aug 23 13:30:53 GMT 2025","Sat Aug 23 13:30:57 GMT 2025","4080","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Sat Aug 23 13:30:51 GMT 2025","Sat Aug 23 13:30:52 GMT 2025","1219","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sat Aug 23 13:30:36 GMT 2025","Sat Aug 23 13:30:47 GMT 2025","11701","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sat Aug 23 13:30:51 GMT 2025","Sat Aug 23 13:30:55 GMT 2025","3952","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sat Aug 23 13:30:52 GMT 2025","Sat Aug 23 13:30:53 GMT 2025","1262","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sat Aug 23 13:30:46 GMT 2025","Sat Aug 23 13:30:51 GMT 2025","5203","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
