"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 28 10:46:30 GMT 2025","Thu Aug 28 10:46:34 GMT 2025","4004","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Thu Aug 28 10:46:29 GMT 2025","Thu Aug 28 10:46:30 GMT 2025","1542","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Thu Aug 28 10:46:12 GMT 2025","Thu Aug 28 10:46:22 GMT 2025","9782","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Thu Aug 28 10:46:26 GMT 2025","Thu Aug 28 10:46:30 GMT 2025","3943","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Thu Aug 28 10:46:28 GMT 2025","Thu Aug 28 10:46:29 GMT 2025","1257","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Thu Aug 28 10:46:24 GMT 2025","Thu Aug 28 10:46:28 GMT 2025","3938","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Thu Aug 28 10:46:22 GMT 2025","Thu Aug 28 10:46:26 GMT 2025","4327","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Thu Aug 28 10:46:12 GMT 2025","Thu Aug 28 10:46:21 GMT 2025","8351","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
