"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 13:34:14 GMT 2025","Sun Jul 13 13:34:14 GMT 2025","949","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sun Jul 13 13:34:16 GMT 2025","Sun Jul 13 13:34:20 GMT 2025","4105","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Sun Jul 13 13:34:17 GMT 2025","Sun Jul 13 13:34:21 GMT 2025","4228","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sun Jul 13 13:34:01 GMT 2025","Sun Jul 13 13:34:11 GMT 2025","10296","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sun Jul 13 13:34:15 GMT 2025","Sun Jul 13 13:34:16 GMT 2025","1151","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sun Jul 13 13:34:12 GMT 2025","Sun Jul 13 13:34:13 GMT 2025","1070","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sun Jul 13 13:34:12 GMT 2025","Sun Jul 13 13:34:17 GMT 2025","4402","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Sun Jul 13 13:34:01 GMT 2025","Sun Jul 13 13:34:11 GMT 2025","9775","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
