"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 13:36:03 GMT 2025","Sat Jul 19 13:36:04 GMT 2025","1200","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sat Jul 19 13:36:05 GMT 2025","Sat Jul 19 13:36:09 GMT 2025","3889","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Sat Jul 19 13:36:04 GMT 2025","Sat Jul 19 13:36:05 GMT 2025","1177","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sat Jul 19 13:35:57 GMT 2025","Sat Jul 19 13:36:02 GMT 2025","4467","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Sat Jul 19 13:35:50 GMT 2025","Sat Jul 19 13:35:59 GMT 2025","9005","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sat Jul 19 13:35:50 GMT 2025","Sat Jul 19 13:35:56 GMT 2025","6187","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sat Jul 19 13:36:00 GMT 2025","Sat Jul 19 13:36:03 GMT 2025","2335","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sat Jul 19 13:36:02 GMT 2025","Sat Jul 19 13:36:06 GMT 2025","3947","","ApiTest.spec.js","","","","@smoke @regression second test",""
