"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 11 13:43:00 GMT 2025","Mon Aug 11 13:43:03 GMT 2025","2644","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Mon Aug 11 13:42:57 GMT 2025","Mon Aug 11 13:43:01 GMT 2025","4377","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Mon Aug 11 13:43:01 GMT 2025","Mon Aug 11 13:43:06 GMT 2025","4365","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Mon Aug 11 13:43:04 GMT 2025","Mon Aug 11 13:43:06 GMT 2025","1369","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Mon Aug 11 13:43:06 GMT 2025","Mon Aug 11 13:43:10 GMT 2025","4043","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Mon Aug 11 13:42:47 GMT 2025","Mon Aug 11 13:42:56 GMT 2025","8777","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Mon Aug 11 13:43:03 GMT 2025","Mon Aug 11 13:43:04 GMT 2025","1484","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Mon Aug 11 13:42:47 GMT 2025","Mon Aug 11 13:42:59 GMT 2025","11959","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
