"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 03 13:37:54 GMT 2025","Sun Aug 03 13:37:55 GMT 2025","1323","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sun Aug 03 13:37:39 GMT 2025","Sun Aug 03 13:37:45 GMT 2025","6604","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sun Aug 03 13:37:52 GMT 2025","Sun Aug 03 13:37:56 GMT 2025","4195","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sun Aug 03 13:37:39 GMT 2025","Sun Aug 03 13:37:49 GMT 2025","9753","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sun Aug 03 13:37:55 GMT 2025","Sun Aug 03 13:37:59 GMT 2025","4156","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Sun Aug 03 13:37:53 GMT 2025","Sun Aug 03 13:37:54 GMT 2025","1169","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sun Aug 03 13:37:50 GMT 2025","Sun Aug 03 13:37:53 GMT 2025","2190","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sun Aug 03 13:37:47 GMT 2025","Sun Aug 03 13:37:51 GMT 2025","4375","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
