"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 13:37:12 GMT 2025","Fri Aug 15 13:37:24 GMT 2025","11714","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Fri Aug 15 13:37:30 GMT 2025","Fri Aug 15 13:37:35 GMT 2025","4436","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Aug 15 13:37:29 GMT 2025","Fri Aug 15 13:37:30 GMT 2025","1265","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Aug 15 13:37:12 GMT 2025","Fri Aug 15 13:37:20 GMT 2025","8614","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Aug 15 13:37:25 GMT 2025","Fri Aug 15 13:37:28 GMT 2025","2559","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Fri Aug 15 13:37:27 GMT 2025","Fri Aug 15 13:37:32 GMT 2025","4283","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Aug 15 13:37:28 GMT 2025","Fri Aug 15 13:37:29 GMT 2025","1165","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Fri Aug 15 13:37:22 GMT 2025","Fri Aug 15 13:37:27 GMT 2025","5131","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
