"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 24 13:33:07 GMT 2025","Sun Aug 24 13:33:18 GMT 2025","11045","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sun Aug 24 13:33:25 GMT 2025","Sun Aug 24 13:33:30 GMT 2025","4717","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sun Aug 24 13:33:28 GMT 2025","Sun Aug 24 13:33:35 GMT 2025","6290","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Sun Aug 24 13:33:26 GMT 2025","Sun Aug 24 13:33:27 GMT 2025","1156","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sun Aug 24 13:33:07 GMT 2025","Sun Aug 24 13:33:20 GMT 2025","13618","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sun Aug 24 13:33:27 GMT 2025","Sun Aug 24 13:33:28 GMT 2025","1341","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sun Aug 24 13:33:22 GMT 2025","Sun Aug 24 13:33:26 GMT 2025","3895","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sun Aug 24 13:33:19 GMT 2025","Sun Aug 24 13:33:25 GMT 2025","5530","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
