"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 13:27:15 GMT 2025","Sat Aug 30 13:27:16 GMT 2025","1690","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Sat Aug 30 13:27:19 GMT 2025","Sat Aug 30 13:27:22 GMT 2025","3761","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Sat Aug 30 13:27:07 GMT 2025","Sat Aug 30 13:27:13 GMT 2025","6024","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Sat Aug 30 13:27:18 GMT 2025","Sat Aug 30 13:27:19 GMT 2025","1335","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Sat Aug 30 13:27:19 GMT 2025","Sat Aug 30 13:27:24 GMT 2025","4131","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Sat Aug 30 13:27:07 GMT 2025","Sat Aug 30 13:27:13 GMT 2025","5426","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Sat Aug 30 13:27:17 GMT 2025","Sat Aug 30 13:27:18 GMT 2025","1412","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Sat Aug 30 13:27:14 GMT 2025","Sat Aug 30 13:27:18 GMT 2025","4362","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
