"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 13:41:33 GMT 2025","Thu Aug 14 13:41:35 GMT 2025","1363","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Thu Aug 14 13:41:17 GMT 2025","Thu Aug 14 13:41:23 GMT 2025","6356","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Thu Aug 14 13:41:24 GMT 2025","Thu Aug 14 13:41:29 GMT 2025","4759","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Thu Aug 14 13:41:32 GMT 2025","Thu Aug 14 13:41:33 GMT 2025","1649","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Thu Aug 14 13:41:29 GMT 2025","Thu Aug 14 13:41:34 GMT 2025","4621","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Thu Aug 14 13:41:17 GMT 2025","Thu Aug 14 13:41:28 GMT 2025","11060","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
"passed","Thu Aug 14 13:41:34 GMT 2025","Thu Aug 14 13:41:38 GMT 2025","4072","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Thu Aug 14 13:41:29 GMT 2025","Thu Aug 14 13:41:32 GMT 2025","2108","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
