"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 13:37:31 GMT 2025","Fri Jul 11 13:37:32 GMT 2025","1002","","UIBasicstest.spec.js","","","","@regression Second playwright test",""
"passed","Fri Jul 11 13:37:22 GMT 2025","Fri Jul 11 13:37:29 GMT 2025","6784","","ApiTest.spec.js","","","","@smoke @regression @apiTest",""
"passed","Fri Jul 11 13:37:32 GMT 2025","Fri Jul 11 13:37:33 GMT 2025","1271","","UIBasicstest.spec.js","","","","@regression Third playwright test",""
"passed","Fri Jul 11 13:37:35 GMT 2025","Fri Jul 11 13:37:39 GMT 2025","4566","","WebAPIPartOne.spec.js","","","","@regression Run first test",""
"passed","Fri Jul 11 13:37:36 GMT 2025","Fri Jul 11 13:37:41 GMT 2025","4913","","ApiTest.spec.js","","","","@smoke @regression second test",""
"passed","Fri Jul 11 13:37:33 GMT 2025","Fri Jul 11 13:37:35 GMT 2025","1333","","UIBasicstest.spec.js","","","","@regression Fourth playwright test",""
"passed","Fri Jul 11 13:37:30 GMT 2025","Fri Jul 11 13:37:36 GMT 2025","5254","","ApiTest.spec.js","","","","@smoke @regression @apiTest second test",""
"passed","Fri Jul 11 13:37:22 GMT 2025","Fri Jul 11 13:37:30 GMT 2025","7599","","UIBasicstest.spec.js","","","","@smoke @regression First playwright test",""
